User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type
User_1,BMW i3,108.46300741284100,Station_391,Houston,2024-01-01 00:00:00,2024-01-01 00:39:00,60.71234573492680,0.5913634253585010,36.3891805669814,13.087716791774500,Evening,Tuesday,29.371575979140000,86.11996244457840,293.6021106383280,27.947953055800900,2.0,DC Fast Charger,Commuter
User_2,Hyundai Kona,100.0,Station_428,San Francisco,2024-01-01 01:00:00,2024-01-01 03:01:00,12.339275203733800,3.133652052688080,30.677734939714400,21.12844792913740,Morning,Monday,10.115777641679900,84.66434362786440,112.11280368218200,14.311025660377800,3.0,Level 1,Casual Driver
User_3,Chevy Bolt,75.0,Station_181,San Francisco,2024-01-01 02:00:00,2024-01-01 04:48:00,19.128875700115500,2.4526527258367800,27.513592558773200,35.66727042356740,Morning,Thursday,6.854604444398550,69.91761524016280,71.79925292594800,21.00200183614420,2.0,Level 2,Commuter
User_4,Hyundai Kona,50.0,Station_327,Houston,2024-01-01 03:00:00,2024-01-01 06:42:00,79.45782398845500,1.2664308046204500,32.882869757386200,13.036238833914600,Evening,Saturday,83.12000296074220,99.62432763119420,199.5777845163290,38.316313160363400,1.0,Level 1,Long-Distance Traveler
User_5,Hyundai Kona,50.0,Station_108,Los Angeles,2024-01-01 04:00:00,2024-01-01 05:46:00,19.62910416772730,2.0197650865894600,10.215712071204600,10.161471171031400,Morning,Saturday,54.25894969116980,63.743786036169700,203.66184655799900,-7.8341990272492100,1.0,Level 1,Long-Distance Traveler
User_6,Nissan Leaf,50.0,Station_335,San Francisco,2024-01-01 05:00:00,2024-01-01 07:10:00,43.18113714248530,1.1676401541014200,14.33452277611830,36.90034077796170,Evening,Saturday,75.21774833696950,71.98228757123690,143.68004610728400,-5.274217796522690,0.0,DC Fast Charger,Long-Distance Traveler
User_7,Chevy Bolt,85.0,Station_162,Houston,2024-01-01 06:00:00,2024-01-01 07:53:00,36.862139988267500,3.5396190263161500,26.185187860033500,22.21422517569780,Evening,Friday,60.75178075976680,70.79609690147150,81.33800890802770,27.5513346806664,4.0,Level 2,Commuter
User_8,Chevy Bolt,75.0,Station_302,Los Angeles,2024-01-01 07:00:00,2024-01-01 10:42:00,51.46761685839950,2.6553964456130200,26.7029077655282,9.796821321322030,Afternoon,Monday,56.201703032995500,63.786815331776600,116.54316578116900,-4.41745966595273,0.0,Level 2,Long-Distance Traveler
User_9,Chevy Bolt,62.0,Station_493,Los Angeles,2024-01-01 08:00:00,2024-01-01 09:21:00,43.59237228216990,1.724203599132770,14.294922926661100,32.465005072088200,Evening,Wednesday,33.46620026326070,92.96142090358900,208.25974249443700,22.51670642679630,4.0,Level 1,Commuter
User_10,Hyundai Kona,50.0,Station_452,Chicago,2024-01-01 09:00:00,2024-01-01 12:44:00,78.86860745126790,2.0268746909843600,11.76099971515700,21.312302451155700,Morning,Wednesday,27.399454625609200,70.05338137780710,54.00630919992560,27.512019364625900,2.830381306943590,DC Fast Charger,Commuter
